BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,
6015277,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6015277,,,kbp320_m388_a332_1866,
6016310,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6016310,,,kbp320_i2624_a3838_1867b,
6017372,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6017372,,,kbp320_i2624_a3838_1867,
6017881,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6017881,,,kbp320_m388_a332_1872,
6018208,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018208,,,kbp320_k43_a363987_1875,
6018385,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018385,,,kbp320_k43_a36357_1867_v2_v4-6,
6018428,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6018428,,,kbp320_i2624_a38385_1873,
6019337,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6019337,,,kbp320_m388_a333525_1875_v1-2,
6019339,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6019339,,,kbp320_m388_a333525_1875b_v2_c2,
6020714,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020714,,,kbp490_55_k43_q255_1876,
6020759,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020759,,,kbp320_k43_a36346_1877,
6020900,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6020900,,,kbp320_k43_a36346_1877b,
6021123,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6021123,,,kbp320_i2624_a38385_1876_v1-2,
6021340,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6021340,,,pj6101_i23_m355_1877,
6023182,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6023182,,,kbp320_i2623_a365355_1879,
