STATUS ,BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,,FOUND PATH
NO MATCH,145447,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=145447,,,pr3291_a1_l561787,,""
MATCH,150692,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=150692,,,PR3291_A1_M38_1769_V1-2,,./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3291_A1_M38_1769_V1-2
MATCH,193381,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=193381,,,PR3291_A1_M47_1761_V1-2,,./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3291_A1_M47_1761_V1-2
MATCH,300954,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=300954,,,pr3291_a1_m5,,./EarlyNovelsDigitization/pr3291_a1_m5
MATCH,200026,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200026,,,pr3291_a1_m595_1769b,,./EarlyNovelsDigitization/pr3291_a1_m595_1769b
MATCH,1813449,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1813449,,,pr3291_a1_p123_1701,,./EarlyNovelsDigitization/pr3291_a1_p123_1701
MATCH,194937,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=194937,,,pr3291_a1_p37_1763,,./EarlyNovelsDigitization/pr3291_a1_p37_1763
MATCH,1802363,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1802363,,,pr3291_a1_s43_1719,,./EarlyNovelsDigitization/pr3291_a1_s43_1719
MATCH,199590,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199590,,,pr3291_a1_t73_1771_v1-2,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3291_a1_t73_1771_v1-2
MATCH,198941,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=198941,,,pr3291_a1_t74_1768,,./EarlyNovelsDigitization/pr3291_a1_t74_1768
MATCH,264589,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=264589,,,pr3291_a1_u54_1739,,./EarlyNovelsDigitization/pr3291_a1_u54_1739
MATCH,3887499,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=3887499,,,pr3291_a1_u55_1734,,./EarlyNovelsDigitization/pr3291_a1_u55_1734
MATCH,991696,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=991696,,,pr3291_a2_l34_1774,,./EarlyNovelsDigitization/pr3291_a2_l34_1774
MATCH,199113,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199113,,,pr3291_a6_e35_1768,,./EarlyNovelsDigitization/pr3291_a6_e35_1768
MATCH,196864,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=196864,,,pr3291_a6_l32_1767,,./EarlyNovelsDigitization/pr3291_a6_l32_1767
MATCH,199576,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199576,,,pr3291_a6_l324_1769b,,./EarlyNovelsDigitization/pr3291_a6_l324_1769b
MATCH,200279,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200279,,,PR3291_A6_L329_1770,,./EarlyNovelsDigitization/Batch2QApass_shared51917/PR3291_A6_L329_1770
MATCH,199458,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199458,,,pr3291_a6_l33_1776,,./EarlyNovelsDigitization/pr3291_a6_l33_1776
MATCH,1807217,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1807217,,,pr3291_a6_p43_1730,,./EarlyNovelsDigitization/pr3291_a6_p43_1730
MATCH,1813680,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1813680,,,pr3291_a6_y5_1724,,./EarlyNovelsDigitization/pr3291_a6_y5_1724
MATCH,200276,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200276,,,pr3291_a7_a53_1771,,./EarlyNovelsDigitization/pr3291_a7_a53_1771
MATCH,199963,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199963,,,pr3291_a7_l8_1773,,./EarlyNovelsDigitization/pr3291_a7_l8_1773
MATCH,200783,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200783,,,pr3291_c52_l47_1771,,./EarlyNovelsDigitization/pr3291_c52_l47_1771
MATCH,6134731,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6134731,,,pr3291_n325_n4_1713,,./EarlyNovelsDigitization/pr3291_n325_n4_1713
MATCH,199448,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199448,,,pr3348_c65_w6_1768,,./EarlyNovelsDigitization/pr3348_c65_w6_1768
MATCH,200430,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=200430,,,pr3356_c54_f44_1773,,./EarlyNovelsDigitization/pr3356_c54_f44_1773
MATCH,206969,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=206969,,,pr3459_f3_f3_1747,,./EarlyNovelsDigitization/pr3459_f3_f3_1747
MATCH,289811,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=289811,,,pr3478_g3_p6_1719,,./EarlyNovelsDigitization/pr3478_g3_p6_1719
MATCH,187116,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=187116,,,pr3505_g42_d44_1775,,./EarlyNovelsDigitization/pr3505_g42_d44_1775
MATCH,1808120,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1808120,,,pr3506_h94_a682_1721,,./EarlyNovelsDigitization/pr3506_h94_a682_1721
MATCH,105981,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=105981,,,pr3639_p445_f3_1785,,./EarlyNovelsDigitization/pr3639_p445_f3_1785
